Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2007/08 to 2008/09,0.2871760101585322,,Normal Value,Units,Percentage (%)
2009/10 to 2011/12,0.2654872541178945,,Normal Value,Units,Percentage (%)
2012/13 to 2014/15,0.2081524832730917,,Normal Value,Units,Percentage (%)
2015/16 to 2017/18,0.1620190463094633,,Normal Value,Units,Percentage (%)
2017/18 to 2019/20,0.171625609741123,,Normal Value,Units,Percentage (%)
