Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2007/08,,,Undefined,Units,Percentage (%)
2008/09,,,Undefined,Units,Percentage (%)
2009/10,,,Undefined,Units,Percentage (%)
2010/11,,,Undefined,Units,Percentage (%)
2011/12,,,Undefined,Units,Percentage (%)
2012/13,,,Undefined,Units,Percentage (%)
2013/14,,,Undefined,Units,Percentage (%)
2014/15,,,Undefined,Units,Percentage (%)
2015/16,,,Undefined,Units,Percentage (%)
2016/17,,,Undefined,Units,Percentage (%)
2017/18,,,Undefined,Units,Percentage (%)
2018/19,,,Undefined,Units,Percentage (%)
