Year,Value,Units,GeoCode,Observation status
2008,265.0,Median count,,Normal value
2009,322.0,Median count,,Normal value
2010,330.0,Median count,,Normal value
2011,260.0,Median count,,Normal value
2012,340.5,Median count,,Normal value
2013,333.5,Median count,,Normal value
2014,399.0,Median count,,Normal value
2015,271.0,Median count,,Normal value
2016,235.0,Median count,,Normal value
2017,225.0,Median count,,Normal value
2018,174.0,Median count,,Normal value
2019,167.0,Median count,,Normal value
2020,122.5,Median count,,Time series break
2021,139.5,Median count,,Normal value
