Year,Industry sector,Observation status,Unit multiplier,Unit measure,Value
1997,,Undefined,Thousand,Tonnes per million GBP (£),0.51
1998,,Undefined,Thousand,Tonnes per million GBP (£),0.5
1999,,Undefined,Thousand,Tonnes per million GBP (£),0.48
2000,,Undefined,Thousand,Tonnes per million GBP (£),0.47
2001,,Undefined,Thousand,Tonnes per million GBP (£),0.46
2002,,Undefined,Thousand,Tonnes per million GBP (£),0.44
2003,,Undefined,Thousand,Tonnes per million GBP (£),0.44
2004,,Undefined,Thousand,Tonnes per million GBP (£),0.44
2005,,Undefined,Thousand,Tonnes per million GBP (£),0.42
2006,,Undefined,Thousand,Tonnes per million GBP (£),0.41
2007,,Undefined,Thousand,Tonnes per million GBP (£),0.39
2008,,Undefined,Thousand,Tonnes per million GBP (£),0.38
2009,,Undefined,Thousand,Tonnes per million GBP (£),0.37
2010,,Undefined,Thousand,Tonnes per million GBP (£),0.37
2011,,Undefined,Thousand,Tonnes per million GBP (£),0.34
2012,,Undefined,Thousand,Tonnes per million GBP (£),0.35
2013,,Undefined,Thousand,Tonnes per million GBP (£),0.34
2014,,Undefined,Thousand,Tonnes per million GBP (£),0.31
2015,,Undefined,Thousand,Tonnes per million GBP (£),0.3
2016,,Undefined,Thousand,Tonnes per million GBP (£),0.28
2017,,Undefined,Thousand,Tonnes per million GBP (£),0.27
1997,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.85
1997,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.75
1997,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.75
1997,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.78
1997,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.28
1997,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
1997,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.1
1997,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.36
1997,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.09
1997,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.04
1997,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
1997,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
1997,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.05
1997,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.08
1997,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.12
1997,Education,Undefined,Thousand,Tonnes per million GBP (£),0.06
1997,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.07
1997,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.08
1997,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
1997,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
1998,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.85
1998,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.75
1998,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.71
1998,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.78
1998,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.44
1998,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
1998,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.1
1998,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.35
1998,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.09
1998,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.03
1998,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
1998,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
1998,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.04
1998,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.07
1998,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.11
1998,Education,Undefined,Thousand,Tonnes per million GBP (£),0.06
1998,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.07
1998,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.08
1998,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
1998,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
1999,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.8
1999,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.71
1999,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.72
1999,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.28
1999,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.29
1999,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
1999,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.1
1999,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.27
1999,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.09
1999,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.03
1999,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
1999,Real estate activities,Undefined,Thousand,Tonnes per million GBP (£),0.01
1999,"Professional, scientific and technical activities",Undefined,Thousand,Tonnes per million GBP (£),0.04
1999,Administrative and support service activities,Undefined,Thousand,Tonnes per million GBP (£),0.07
1999,Public administration and defence; compulsory social security,Undefined,Thousand,Tonnes per million GBP (£),0.11
1999,Education,Undefined,Thousand,Tonnes per million GBP (£),0.05
1999,Human health and social work activities,Undefined,Thousand,Tonnes per million GBP (£),0.06
1999,"Arts, entertainment and recreation",Undefined,Thousand,Tonnes per million GBP (£),0.07
1999,Other service activities,Undefined,Thousand,Tonnes per million GBP (£),0.05
1999,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Undefined,Thousand,Tonnes per million GBP (£),0.02
2000,"Agriculture, forestry and fishing",Undefined,Thousand,Tonnes per million GBP (£),0.71
2000,Mining and quarrying,Undefined,Thousand,Tonnes per million GBP (£),0.73
2000,Manufacturing,Undefined,Thousand,Tonnes per million GBP (£),0.68
2000,"Electricity, gas, steam and air conditioning supply",Undefined,Thousand,Tonnes per million GBP (£),5.44
2000,"Water supply; sewerage, waste management and remediation activities",Undefined,Thousand,Tonnes per million GBP (£),0.29
2000,Construction,Undefined,Thousand,Tonnes per million GBP (£),0.13
2000,Wholesale and retail trade; repair of motor vehicles and motorcycles,Undefined,Thousand,Tonnes per million GBP (£),0.1
2000,Transport and storage,Undefined,Thousand,Tonnes per million GBP (£),1.23
2000,Accommodation and food services,Undefined,Thousand,Tonnes per million GBP (£),0.09
2000,Information and communication,Undefined,Thousand,Tonnes per million GBP (£),0.03
2000,Financial and insurance activities,Undefined,Thousand,Tonnes per million GBP (£),0.0
