Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
1990,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.9
1991,,Terajoules per million pounds (TJ/£ million),Units,Undefined,6.0
1992,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.9
1993,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.8
1994,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.7
1995,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.6
1996,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.7
1997,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.4
1998,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.3
1999,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.2
2000,,Terajoules per million pounds (TJ/£ million),Units,Undefined,5.0
2001,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.9
2002,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.6
2003,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.5
2004,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.5
2005,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.4
2006,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.1
2007,,Terajoules per million pounds (TJ/£ million),Units,Undefined,4.0
2008,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.9
2009,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.7
2010,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.7
2011,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.6
2012,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.4
2013,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.3
2014,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
2015,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.1
2016,,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.0
2017,,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.9
2018,,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.8
1990,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.2
1991,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.7
1992,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.3
1993,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.7
1994,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,14.1
1995,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,14.5
1996,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,15.3
1997,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,14.7
1998,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,14.2
1999,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.2
2000,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.6
2001,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,13.4
2002,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.6
2003,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.0
2004,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.2
2005,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.1
2006,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.5
2007,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.6
2008,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.6
2009,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.9
2010,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.3
2011,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.0
2012,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.2
2013,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.0
2014,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.0
2015,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.6
2016,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.9
2017,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.4
2018,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.9
