Year,Gas,Observation status,Unit multiplier,Unit measure,Value
1990,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),608.288718958
1991,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),615.598845958421
1992,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),598.979556612784
1993,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),584.040544141961
1994,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),579.562518375426
1995,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),571.172165108862
1996,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),591.726007455662
1997,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),565.031553204886
1998,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),569.307424209524
1999,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),563.25696989884
2000,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),569.389346628209
2001,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),577.559446030712
2002,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),560.263929765792
2003,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),571.334601444859
2004,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),571.884753711116
2005,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),568.304747777715
2006,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),565.230724576919
2007,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),556.214379336626
2008,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),541.037444205532
2009,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),490.404509565153
2010,Net CO2 emissions (emissions minus removals),Undefined,Units,Million tonnes carbon dioxide equivalent (MtCO2e),507.962873257485
