Year,Sex,Country,Region,Health Board,Birth weight,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2014,,Wales,,Betsi Cadwaladr University,,,"Rate per 1,000 live births",Units,Undefined,W11000023,2.3
2015,,Wales,,Betsi Cadwaladr University,,,"Rate per 1,000 live births",Units,Undefined,W11000023,2.7
2016,,Wales,,Betsi Cadwaladr University,,,"Rate per 1,000 live births",Units,Undefined,W11000023,3.6
2009,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,2.7
2010,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,1.3
2011,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,2.9
2012,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,2.7
2013,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,2.1
2014,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,1.7
2015,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,3.2
2016,,Wales,,Aneurin Bevan University,,,"Rate per 1,000 live births",Units,Undefined,W11000028,1.6
2009,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,2.6
2010,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,3.0
2011,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,3.0
2012,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,2.7
2013,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,2.0
2014,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,2.0
2015,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,2.2
2016,,Wales,,Abertawe Bro Morgannwg University,,,"Rate per 1,000 live births",Units,Undefined,W11000026,2.2
2008,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.6
2009,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.3
2010,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,2.8
2011,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.1
2012,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.1
2013,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,2.7
2014,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.0
2015,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.1
2016,,England,East Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000004,3.0
2008,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.9
2009,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,3.0
2010,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.5
2011,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.7
2012,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.8
2013,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.2
2014,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.5
2015,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.2
2016,,England,East of England,,,,"Rate per 1,000 live births",Units,Undefined,E12000006,2.2
2008,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.8
2009,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,3.0
2010,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,3.2
2011,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.8
2012,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.6
2013,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.6
2014,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.0
2015,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.2
2016,,England,London,,,,"Rate per 1,000 live births",Units,Undefined,E12000007,2.2
2008,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,3.1
2009,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.9
2010,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.8
2011,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.4
2012,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.4
2013,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.1
2014,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.6
2015,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.0
2016,,England,North East,,,,"Rate per 1,000 live births",Units,Undefined,E12000001,2.3
2008,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,3.4
2009,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,3.2
2010,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,3.1
2011,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,3.0
2012,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,2.8
2013,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,2.8
2014,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,2.7
2015,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,2.6
2016,,England,North West,,,,"Rate per 1,000 live births",Units,Undefined,E12000002,3.4
2009,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.5
2010,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.4
2011,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.4
2012,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.3
2013,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.4
2014,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.2
2015,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.2
2016,,England,South East,,,,"Rate per 1,000 live births",Units,Undefined,E12000008,2.6
2008,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.7
2009,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.4
2010,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.2
2011,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.6
2012,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.6
2013,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.5
2014,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.0
2015,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.6
2016,,England,South West,,,,"Rate per 1,000 live births",Units,Undefined,E12000009,2.4
2008,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,4.4
2009,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,4.4
2010,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,3.6
2011,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,4.3
2012,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,3.9
2013,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,3.7
2014,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,3.9
2015,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,4.6
2016,,England,West Midlands,,,,"Rate per 1,000 live births",Units,Undefined,E12000005,4.5
2008,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,3.4
2009,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,3.4
2010,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,3.6
2011,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,3.3
2012,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,2.6
2013,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,2.9
2014,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,2.6
2015,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,2.6
2016,,England,Yorkshire and the Humber,,,,"Rate per 1,000 live births",Units,Undefined,E12000003,2.4
2008,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.8
2009,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.9
2010,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.7
2011,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.5
2012,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.5
2013,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.4
2014,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.4
2015,Female,England,,,,,"Rate per 1,000 live births",Units,Undefined,E92000001,2.3
