Year,Value,Observation status,Unit multiplier,Unit measure
1990,5.9,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1991,6.0,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1992,5.9,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1993,5.8,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1994,5.7,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1995,5.6,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1996,5.7,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1997,5.4,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1998,5.3,Undefined,Units,Terajoules per million pounds (TJ/£ million)
1999,5.2,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2000,5.0,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2001,4.9,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2002,4.6,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2003,4.5,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2004,4.5,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2005,4.4,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2006,4.1,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2007,4.0,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2008,3.9,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2009,3.7,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2010,3.7,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2011,3.6,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2012,3.4,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2013,3.3,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2014,3.1,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2015,3.1,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2016,3.0,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2017,2.9,Undefined,Units,Terajoules per million pounds (TJ/£ million)
2018,2.8,Undefined,Units,Terajoules per million pounds (TJ/£ million)
