Year,Value,Units,Series,Observation status,Unit multiplier
1990-1994 (baseline),100.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1991-1995,101.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1992-1996,101.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1993-1997,101.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1994-1998,102.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1995-1999,102.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1996-2000,104.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1997-2001,107.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1998-2002,110.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
1999-2003,111.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2000-2004,112.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2001-2005,111.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2002-2006,110.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2003-2007,111.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2004-2008,112.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2005-2009,112.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2006-2010,113.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2007-2011,114.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2008-2012,114.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2009-2013,115.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2010-2014,116.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2011-2015,117.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2012-2016,119.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2013-2017,120.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2014-2018,120.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
2015-2019,121.0,% change from baseline,Nationally derived quantity of groundwater,Normal value,Units
