Year,Value,Series,Observation status,Unit multiplier,Unit measure
1990,813.396486653835,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1991,821.743941975871,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1992,800.622039989113,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1993,781.087424597103,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1994,768.442105964082,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1995,762.30637898252,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1996,781.93362678175,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1997,757.086087274908,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1998,754.652703942576,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
1999,725.909340398541,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2000,725.844748788004,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2001,728.575715012791,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2002,706.594614998904,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2003,711.946888879701,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2004,707.548918296619,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2005,698.689841407058,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2006,690.723454334211,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2007,677.674681879853,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2008,655.906831460023,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2009,599.172980462767,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2010,612.953740794822,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2011,566.870754103566,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2012,583.092449753817,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2013,568.605262331902,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2014,527.757914752754,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2015,510.421371982878,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2016,484.938996945765,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2017,473.215608683885,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2018,464.807551500583,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2019,450.435177125297,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2020,406.292173403947,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
2021,426.509996438525,Greenhouse gas emissions within UK borders,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e)
