Year,Value,Units,Observation status,Unit multiplier
2006/07,2.25735332846748,Percentage (%),Definition differs,Units
2007/08,1.9147597311146,Percentage (%),Definition differs,Units
2008/09,1.77671110642245,Percentage (%),Definition differs,Units
2009/10,1.90393041082285,Percentage (%),Definition differs,Units
2010/11,1.93237969461798,Percentage (%),Definition differs,Units
2011/12,1.85058188927215,Percentage (%),Definition differs,Units
2012/13,1.87527256868731,Percentage (%),Definition differs,Units
2013/14,1.821125183,Percentage (%),Definition differs,Units
2014/15,1.829852058,Percentage (%),Definition differs,Units
2015/16,1.825101268,Percentage (%),Definition differs,Units
2016/17,1.739594858,Percentage (%),Definition differs,Units
2017/18,1.772796512,Percentage (%),Definition differs,Units
2018/19,1.776316632,Percentage (%),Definition differs,Units
2019/20,1.993427972,Percentage (%),Definition differs,Units
2020/21,,Percentage (%),Missing value,Units
2021/22,1.48303756192387,Percentage (%),Definition differs,Units
