Year,Value,Units,Series,Observation status,Unit multiplier
2013,569.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2014,512.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2015,858.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2016,689.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2017,1076.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2018,1116.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2019,792.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2020,489.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2021,715.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
2022,749.0,Number of times seized,Convention of International Trade of Endangered Species (CITES) seizures,Normal value,Units
