Year,Value,Units,Series,Observation status,Unit multiplier
2000,259.6,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2001,269.6,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2002,297.7,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2003,306.2,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2004,316.4,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2005,318.5,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2006,325.6,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2007,362.1,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2008,373.5,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2009,406.8,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2010,361.8,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2011,359.9,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2012,355.5,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2013,384.8,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2014,373.2,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2015,380.2,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2016,393.3,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2017,408.0,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2018,414.6,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2019,431.5,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2020,451.6,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2021,468.0642243244224,GBP (£),Average weekly gross earnings of food producers by sex,Normal value,Units
2022,491.5294410340893,GBP (£),Average weekly gross earnings of food producers by sex,Provisional value,Units
