Year,Value,Observation status,Unit multiplier,Unit measure
2015,450729.0,Undefined,Thousands,GBP (£)
2016,239208.0,Undefined,Thousands,GBP (£)
2017,153151.0,Undefined,Thousands,GBP (£)
