Year,Value,Units,Observation status,Unit multiplier,Unit measure
2007,11195.0,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2009,,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2011,,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2012,,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2015,10001.0,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2017,,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2018,9525.0,Food and inedible waste (Kilotonnes),estimate,Thousands,Kilotonnes
2007,181.2,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2009,,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2011,,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2012,,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2015,153.6,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2017,,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2018,143.4,Food and inedible waste (Kilogrammes per person),estimate,Units,Kg per person
2007,8165.0,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2009,,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2011,,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2012,,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2015,6910.0,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2017,,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2018,6408.0,Food (Kilotonnes),estimate,Thousands,Kilotonnes
2007,132.3,Food (Kilogrammes per person),estimate,Units,Kg per person
2009,,Food (Kilogrammes per person),estimate,Units,Kg per person
2011,,Food (Kilogrammes per person),estimate,Units,Kg per person
2012,,Food (Kilogrammes per person),estimate,Units,Kg per person
2015,106.1,Food (Kilogrammes per person),estimate,Units,Kg per person
2017,,Food (Kilogrammes per person),estimate,Units,Kg per person
2018,96.4,Food (Kilogrammes per person),estimate,Units,Kg per person
