Year,Value,Units,Observation status,Unit multiplier
2001/2002,18.7,Gini coefficient,,
2002/2003,19.300000000000004,Gini coefficient,,
2003/2004,19.6,Gini coefficient,,
2004/2005,20.1,Gini coefficient,,
2005/2006,20.4,Gini coefficient,,
2006/2007,19.9,Gini coefficient,,
2007/2008,19.700000000000003,Gini coefficient,,
2008/2009,20.9,Gini coefficient,,
2009/2010,22.0,Gini coefficient,,
2010/2011,21.7,Gini coefficient,,
2011/2012,22.300000000000004,Gini coefficient,,
2012/2013,22.2,Gini coefficient,,
2013/2014,21.1,Gini coefficient,,
2014/2015,20.7,Gini coefficient,,
2015/2016,20.5,Gini coefficient,,
2016/2017,21.0,Gini coefficient,,
2017/2018,20.5,Gini coefficient,,
2018/2019,20.300000000000004,Gini coefficient,,
