Year,Value,Observation status,Unit multiplier,Unit measure
2005,19.0,Undefined,Units,Percentage (%)
2006,19.0,Undefined,Units,Percentage (%)
2007,18.6,Undefined,Units,Percentage (%)
2008,18.7,Undefined,Units,Percentage (%)
2009,17.3,Undefined,Units,Percentage (%)
2010,17.1,Undefined,Units,Percentage (%)
2011,16.2,Undefined,Units,Percentage (%)
2012,16.0,Undefined,Units,Percentage (%)
2013,15.9,Undefined,Units,Percentage (%)
2014,16.8,Undefined,Units,Percentage (%)
2015,16.6,Undefined,Units,Percentage (%)
2016,15.9,Undefined,Units,Percentage (%)
2017,17.0,Undefined,Units,Percentage (%)
2018,18.9,Undefined,Units,Percentage (%)
