Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2007/08 to 2008/09,0.287176010159,,Undefined,Units,Percentage (%)
2009/10 to 2011/12,0.2654872541178945,,Undefined,Units,Percentage (%)
2012/13 to 2014/15,0.20815248327309174,,Undefined,Units,Percentage (%)
2015/16 to 2017/18,0.16201904630946332,,Undefined,Units,Percentage (%)
