Year,Value,Unit measure
2000/01,30.5,Percentage (%)
2001/02,31.1,Percentage (%)
2002/03,28.0,Percentage (%)
2003/04,25.5,Percentage (%)
2004/05,25.0,Percentage (%)
2005/06,24.8,Percentage (%)
2006/07,25.2,Percentage (%)
2007/08,25.9,Percentage (%)
2008/09,24.4,Percentage (%)
2009/10,21.9,Percentage (%)
2010/11,20.3,Percentage (%)
2011/12,19.5,Percentage (%)
2012/13,18.0,Percentage (%)
2013/14,19.7,Percentage (%)
2014/15,20.8,Percentage (%)
2015/16,18.8,Percentage (%)
2016/17,19.9,Percentage (%)
2017/18,20.6,Percentage (%)
2018/19,21.7,Percentage (%)
2019/20,21.1,Percentage (%)
