Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2000,6.55,,Normal value,Units,"Rate per 1,000 live births"
2001,6.44,,Normal value,Units,"Rate per 1,000 live births"
2002,6.19,,Normal value,Units,"Rate per 1,000 live births"
2003,6.25,,Normal value,Units,"Rate per 1,000 live births"
2004,5.86,,Normal value,Units,"Rate per 1,000 live births"
2005,5.9,,Normal value,Units,"Rate per 1,000 live births"
2006,5.75,,Normal value,Units,"Rate per 1,000 live births"
2007,5.55,,Normal value,Units,"Rate per 1,000 live births"
2008,5.32,,Normal value,Units,"Rate per 1,000 live births"
2009,5.18,,Normal value,Units,"Rate per 1,000 live births"
2010,4.9,,Normal value,Units,"Rate per 1,000 live births"
2011,4.81,,Normal value,Units,"Rate per 1,000 live births"
2012,4.58,,Normal value,Units,"Rate per 1,000 live births"
2013,4.47,,Normal value,Units,"Rate per 1,000 live births"
2014,4.23,,Normal value,Units,"Rate per 1,000 live births"
2015,4.29,,Normal value,Units,"Rate per 1,000 live births"
2016,4.42,,Normal value,Units,"Rate per 1,000 live births"
2017,4.38,,Normal value,Units,"Rate per 1,000 live births"
2018,4.31,,Normal value,Units,"Rate per 1,000 live births"
2019,4.27,,Normal value,Units,"Rate per 1,000 live births"
2020,4.06,,Normal value,Units,"Rate per 1,000 live births"
2021,4.2398,K02000001,Normal value,Units,"Rate per 1,000 live births"
