Year,Value,Units,Series,Observation status,Unit multiplier
1995,0.851116315126149,Index,Agriculture orientation index for government expenditures,Normal value,Units
1996,0.8468890277398515,Index,Agriculture orientation index for government expenditures,Normal value,Units
1997,1.0676081221872344,Index,Agriculture orientation index for government expenditures,Normal value,Units
1998,0.8004620937378646,Index,Agriculture orientation index for government expenditures,Normal value,Units
1999,0.7753586178307114,Index,Agriculture orientation index for government expenditures,Normal value,Units
2000,0.8783228236230084,Index,Agriculture orientation index for government expenditures,Normal value,Units
2001,1.1638281854039405,Index,Agriculture orientation index for government expenditures,Normal value,Units
2002,0.555149847101624,Index,Agriculture orientation index for government expenditures,Normal value,Units
2003,0.589793509540386,Index,Agriculture orientation index for government expenditures,Normal value,Units
2004,0.7052663890406613,Index,Agriculture orientation index for government expenditures,Normal value,Units
2005,0.695353631667568,Index,Agriculture orientation index for government expenditures,Normal value,Units
2006,0.6907770070401086,Index,Agriculture orientation index for government expenditures,Normal value,Units
2007,0.7272586635592463,Index,Agriculture orientation index for government expenditures,Normal value,Units
2008,0.4640121012307516,Index,Agriculture orientation index for government expenditures,Normal value,Units
2009,0.4537862528736469,Index,Agriculture orientation index for government expenditures,Normal value,Units
2010,0.5522707065033328,Index,Agriculture orientation index for government expenditures,Normal value,Units
2011,0.4604550006869125,Index,Agriculture orientation index for government expenditures,Normal value,Units
2012,0.4693796636183328,Index,Agriculture orientation index for government expenditures,Normal value,Units
2013,0.4732976651952639,Index,Agriculture orientation index for government expenditures,Normal value,Units
2014,0.3355512541776682,Index,Agriculture orientation index for government expenditures,Normal value,Units
2015,0.3756807421737473,Index,Agriculture orientation index for government expenditures,Normal value,Units
2016,0.4308868418492708,Index,Agriculture orientation index for government expenditures,Normal value,Units
2017,0.4137569051854258,Index,Agriculture orientation index for government expenditures,Normal value,Units
2018,0.4583429070434983,Index,Agriculture orientation index for government expenditures,Normal value,Units
2019,0.4159437265813863,Index,Agriculture orientation index for government expenditures,Normal value,Units
