Year,Value,Series,Observation status,Unit multiplier,Unit measure
2010,4075524.78636676,Hazardous waste generated (absolute number),Normal value,Units,Tonnes
2012,4182830.49637335,Hazardous waste generated (absolute number),Normal value,Units,Tonnes
2014,4206810.731532314,Hazardous waste generated (absolute number),Normal value,Units,Tonnes
2016,4463193.895194106,Hazardous waste generated (absolute number),Normal value,Units,Tonnes
2018,4574432.128876306,Hazardous waste generated (absolute number),Normal value,Units,Tonnes
2010,0.0649388163333786,Hazardous waste generated (tonnes per capita),Normal value,Units,Tonnes per capita
2012,0.0656593442680012,Hazardous waste generated (tonnes per capita),Normal value,Units,Tonnes per capita
2014,0.0651241835120799,Hazardous waste generated (tonnes per capita),Normal value,Units,Tonnes per capita
2016,0.0686293657978666,Hazardous waste generated (tonnes per capita),Normal value,Units,Tonnes per capita
2018,0.0688551856479897,Hazardous waste generated (tonnes per capita),Normal value,Units,Tonnes per capita
2010,1973446.2986709345,Hazardous waste treated,Normal value,Units,Tonnes
2012,1912804.608148825,Hazardous waste treated,Normal value,Units,Tonnes
2014,1895827.0293695328,Hazardous waste treated,Normal value,Units,Tonnes
2016,1931002.006267872,Hazardous waste treated,Normal value,Units,Tonnes
2018,2028082.160726641,Hazardous waste treated,Normal value,Units,Tonnes
