Year,Value,Units,Observation status,Unit multiplier
2009,47321.46,GBP (£ thousands),Definition differs,Thousands
2010,135108.19999,GBP (£ thousands),Definition differs,Thousands
2011,48054.535592,GBP (£ thousands),Definition differs,Thousands
2012,60297.622159,GBP (£ thousands),Definition differs,Thousands
2013,76628.69614,GBP (£ thousands),Definition differs,Thousands
2014,60004.928604,GBP (£ thousands),Definition differs,Thousands
2015,54149.45335,GBP (£ thousands),Definition differs,Thousands
2016,46372.26824,GBP (£ thousands),Definition differs,Thousands
2017,79568.8850051,GBP (£ thousands),Definition differs,Thousands
2018,71290.1654848,GBP (£ thousands),Definition differs,Thousands
2019,90798.5177873,GBP (£ thousands),Definition differs,Thousands
2020,75608.8568366,GBP (£ thousands),Definition differs,Thousands
2009,72136.97721586705,Constant USD ($ thousands),Definition differs,Thousands
2010,202702.393439032,Constant USD ($ thousands),Definition differs,Thousands
2011,70635.77449471358,Constant USD ($ thousands),Definition differs,Thousands
2012,87188.25145737789,Constant USD ($ thousands),Definition differs,Thousands
2013,108864.11971125891,Constant USD ($ thousands),Definition differs,Thousands
2014,83796.43633793175,Constant USD ($ thousands),Definition differs,Thousands
2015,75122.615922389,Constant USD ($ thousands),Definition differs,Thousands
2016,62978.35650841737,Constant USD ($ thousands),Definition differs,Thousands
2017,106008.33871206804,Constant USD ($ thousands),Definition differs,Thousands
2018,92889.09087989028,Constant USD ($ thousands),Definition differs,Thousands
2019,115873.55511396122,Constant USD ($ thousands),Definition differs,Thousands
2020,91092.66627822054,Constant USD ($ thousands),Definition differs,Thousands
