Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2011,20.2,,Undefined,Units,Percentage (%)
2012,19.6,,Undefined,Units,Percentage (%)
2013,18.8,,Undefined,Units,Percentage (%)
2014,18.1,,Undefined,Units,Percentage (%)
2015,17.2,,Undefined,Units,Percentage (%)
2016,15.8,,Undefined,Units,Percentage (%)
2017,15.1,,Undefined,Units,Percentage (%)
2018,14.7,,Undefined,Units,Percentage (%)
2019,14.1,,Undefined,Units,Percentage (%)
