Year,Value,Observation status,Unit multiplier,Unit measure
1997,0.51,Undefined,Thousand,Tonnes per million GBP (£)
1998,0.5,Undefined,Thousand,Tonnes per million GBP (£)
1999,0.48,Undefined,Thousand,Tonnes per million GBP (£)
2000,0.47,Undefined,Thousand,Tonnes per million GBP (£)
2001,0.46,Undefined,Thousand,Tonnes per million GBP (£)
2002,0.44,Undefined,Thousand,Tonnes per million GBP (£)
2003,0.44,Undefined,Thousand,Tonnes per million GBP (£)
2004,0.44,Undefined,Thousand,Tonnes per million GBP (£)
2005,0.42,Undefined,Thousand,Tonnes per million GBP (£)
2006,0.41,Undefined,Thousand,Tonnes per million GBP (£)
2007,0.39,Undefined,Thousand,Tonnes per million GBP (£)
2008,0.38,Undefined,Thousand,Tonnes per million GBP (£)
2009,0.37,Undefined,Thousand,Tonnes per million GBP (£)
2010,0.37,Undefined,Thousand,Tonnes per million GBP (£)
2011,0.34,Undefined,Thousand,Tonnes per million GBP (£)
2012,0.35,Undefined,Thousand,Tonnes per million GBP (£)
2013,0.34,Undefined,Thousand,Tonnes per million GBP (£)
2014,0.31,Undefined,Thousand,Tonnes per million GBP (£)
2015,0.3,Undefined,Thousand,Tonnes per million GBP (£)
2016,0.28,Undefined,Thousand,Tonnes per million GBP (£)
2017,0.27,Undefined,Thousand,Tonnes per million GBP (£)
