Year,Value,Units,Series,Observation status,Unit multiplier
2000,74.15274000000001,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2001,75.6432,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2002,75.67926999999999,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2003,76.77620999999999,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2004,77.09212,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2005,79.36199,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2006,79.9189,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2007,79.94205,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2008,79.96974,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2009,79.97629,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2010,80.40163000000001,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2011,80.85208,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2012,80.85375,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2013,80.85375,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2014,80.96204,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2015,80.96212,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2016,80.96251,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2017,81.15844,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2018,81.39444,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2019,81.41049,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
2020,81.41051999999999,Percentage (%),1) Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal value,Units
