Year,Value,Observation status,Unit multiplier,Unit measure
2012/13,0.9346459917039042,Undefined,Units,"Rate per 100,000 population"
2012/13,0.9599066610097582,Undefined,Units,"Rate per 100,000 population"
2013/14,0.9148660268258736,Undefined,Units,"Rate per 100,000 population"
2014/15,0.8779164200575055,Undefined,Units,"Rate per 100,000 population"
2015/16,0.9311499600080596,Undefined,Units,"Rate per 100,000 population"
2016/17,1.1784612163874555,Undefined,Units,"Rate per 100,000 population"
2017/18,1.1864921359999163,Undefined,Units,"Rate per 100,000 population"
2018/19,1.0876955096732246,Undefined,Units,"Rate per 100,000 population"
2019/20,1.1389667266937462,Undefined,Units,"Rate per 100,000 population"
2020/21,0.9477605757186688,Undefined,Units,"Rate per 100,000 population"
2021/22,1.1654441001770202,Undefined,Units,"Rate per 100,000 population"
