Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2006,1.52830531148951,,Undefined,Units,Percentage (%)
2007,1.56779772471093,,Undefined,Units,Percentage (%)
2008,1.60352529971763,,Undefined,Units,Percentage (%)
2009,1.637928638511,,Undefined,Units,Percentage (%)
2010,1.6111644327593202,,Undefined,Units,Percentage (%)
2011,1.64587334961251,,Undefined,Units,Percentage (%)
2012,1.5770290848402801,,Undefined,Units,Percentage (%)
2013,1.61495494989754,,Undefined,Units,Percentage (%)
2014,1.63488942879675,,Undefined,Units,Percentage (%)
2015,1.6473966677682,,Undefined,Units,Percentage (%)
2016,1.66987829334175,,Undefined,Units,Percentage (%)
2017,1.68934052723459,,Undefined,Units,Percentage (%)
