Year,Value,Units,Series,Observation status,Unit multiplier
1987,0.183732115890759,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1988,0.178702852438891,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1989,0.181747550887678,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1990,0.192015501781238,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1991,0.182807324254822,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1992,0.172366638583156,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1993,0.166582858657349,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1994,0.172634287156158,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1995,0.103934088787601,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1996,0.0999878373148047,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1997,0.105574978430357,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1998,0.0841051625538447,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
1999,0.322442231834984,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2000,0.304560872805126,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2001,0.300583640293896,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2002,0.293142719395279,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2003,0.276598675258128,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2004,0.245084570650265,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2005,0.237549242499683,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2006,0.225310157619213,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2007,0.211985610843082,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2008,0.204506122704368,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2009,0.216863785637961,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2010,0.198740055880487,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2011,0.19123153781258,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2012,0.182708540165736,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2013,0.172432120626788,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2014,0.161018778770819,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2015,0.170481623894417,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2016,0.169735607746406,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2017,0.160479232337411,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2018,0.152518468189591,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2019,0.147522898823853,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2020,0.120094771607375,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
2021,0.112504592428842,Percentage (%),Volume of remittances (in United States dollars) as a proportion of total GDP,Estimated value,Units
