Year,Value,Series
2019,9.52,PM2.5
2018,10.07,PM2.5
2017,10.09,PM2.5
2016,10.19,PM2.5
2015,11.08,PM2.5
2014,10.95,PM2.5
2013,11.82,PM2.5
2012,12.14,PM2.5
2011,13.41,PM2.5
2010,13.17,PM2.5
