Year,Value,Observation status,Unit multiplier,Unit measure
1970,186000.0,Undefined,Thousands,GBP (£)
1971,231000.0,Undefined,Thousands,GBP (£)
1972,243000.0,Undefined,Thousands,GBP (£)
1973,246000.0,Undefined,Thousands,GBP (£)
1974,307000.0,Undefined,Thousands,GBP (£)
1975,388000.0,Undefined,Thousands,GBP (£)
1976,487000.0,Undefined,Thousands,GBP (£)
1977,638000.0,Undefined,Thousands,GBP (£)
1978,763000.0,Undefined,Thousands,GBP (£)
1979,1016000.0,Undefined,Thousands,GBP (£)
1980,797000.0,Undefined,Thousands,GBP (£)
1981,1081000.0,Undefined,Thousands,GBP (£)
1982,1028000.0,Undefined,Thousands,GBP (£)
1983,1061000.0,Undefined,Thousands,GBP (£)
1984,1070000.0,Undefined,Thousands,GBP (£)
1985,1180000.0,Undefined,Thousands,GBP (£)
1986,1185000.0,Undefined,Thousands,GBP (£)
1987,1142000.0,Undefined,Thousands,GBP (£)
1988,1485000.0,Undefined,Thousands,GBP (£)
1989,1578000.0,Undefined,Thousands,GBP (£)
1990,1485000.0,Undefined,Thousands,GBP (£)
1991,1815000.0,Undefined,Thousands,GBP (£)
1992,1848000.0,Undefined,Thousands,GBP (£)
1993,1945000.0,Undefined,Thousands,GBP (£)
1994,2089000.0,Undefined,Thousands,GBP (£)
1995,2029000.0,Undefined,Thousands,GBP (£)
1996,2050000.0,Undefined,Thousands,GBP (£)
1997,2096000.0,Undefined,Thousands,GBP (£)
1998,2332000.0,Undefined,Thousands,GBP (£)
1999,2118000.0,Undefined,Thousands,GBP (£)
2000,2974000.0,Undefined,Thousands,GBP (£)
2001,3179000.0,Undefined,Thousands,GBP (£)
2002,3281000.0,Undefined,Thousands,GBP (£)
2003,3847000.0,Undefined,Thousands,GBP (£)
2004,4302000.0,Undefined,Thousands,GBP (£)
2005,5926000.0,Undefined,Thousands,GBP (£)
2006,6770000.0,Undefined,Thousands,GBP (£)
2007,4921000.0,Undefined,Thousands,GBP (£)
2008,6356000.0,Undefined,Thousands,GBP (£)
2009,7300976.237289995,Undefined,Thousands,GBP (£)
2010,8528781.042927243,Undefined,Thousands,GBP (£)
2011,8628623.087847998,Undefined,Thousands,GBP (£)
2012,8801919.047425846,Undefined,Thousands,GBP (£)
2013,11406860.450010212,Undefined,Thousands,GBP (£)
2014,11700471.98552536,Undefined,Thousands,GBP (£)
2015,12135596.438341627,Undefined,Thousands,GBP (£)
2016,13377131.388476798,Undefined,Thousands,GBP (£)
2017,14059089.2329178,Undefined,Thousands,GBP (£)
