Year,Value,Units,Series,Observation status,Unit multiplier
2000,0.96508,Index,Red List Index,Estimated value,Units
2001,0.96464,Index,Red List Index,Estimated value,Units
2002,0.964,Index,Red List Index,Estimated value,Units
2003,0.96362,Index,Red List Index,Estimated value,Units
2004,0.96343,Index,Red List Index,Estimated value,Units
2005,0.96332,Index,Red List Index,Estimated value,Units
2006,0.96331,Index,Red List Index,Estimated value,Units
2007,0.96342,Index,Red List Index,Estimated value,Units
2008,0.96351,Index,Red List Index,Estimated value,Units
2009,0.96359,Index,Red List Index,Estimated value,Units
2010,0.96366,Index,Red List Index,Estimated value,Units
2011,0.96363,Index,Red List Index,Estimated value,Units
2012,0.96351,Index,Red List Index,Estimated value,Units
2013,0.96311,Index,Red List Index,Estimated value,Units
2014,0.96268,Index,Red List Index,Estimated value,Units
2015,0.96225,Index,Red List Index,Estimated value,Units
2016,0.96218,Index,Red List Index,Estimated value,Units
2017,0.9619,Index,Red List Index,Estimated value,Units
2018,0.96188,Index,Red List Index,Estimated value,Units
2019,0.96194,Index,Red List Index,Estimated value,Units
2020,0.96202,Index,Red List Index,Estimated value,Units
2021,0.96202,Index,Red List Index,Estimated value,Units
2022,0.9621,Index,Red List Index,Estimated value,Units
2023,0.96214,Index,Red List Index,Estimated value,Units
