Year,Value,Units,Observation status,Unit multiplier,Unit measure
1950,0.0,Marine protected area extent,Undefined,Million,Hectares
1951,0.01,Marine protected area extent,Undefined,Million,Hectares
1952,0.02,Marine protected area extent,Undefined,Million,Hectares
1953,0.02,Marine protected area extent,Undefined,Million,Hectares
1954,0.04,Marine protected area extent,Undefined,Million,Hectares
1955,0.04,Marine protected area extent,Undefined,Million,Hectares
1956,0.07,Marine protected area extent,Undefined,Million,Hectares
1957,0.08,Marine protected area extent,Undefined,Million,Hectares
1958,0.08,Marine protected area extent,Undefined,Million,Hectares
1959,0.08,Marine protected area extent,Undefined,Million,Hectares
1960,0.08,Marine protected area extent,Undefined,Million,Hectares
1961,0.08,Marine protected area extent,Undefined,Million,Hectares
1962,0.08,Marine protected area extent,Undefined,Million,Hectares
1963,0.08,Marine protected area extent,Undefined,Million,Hectares
1964,0.09,Marine protected area extent,Undefined,Million,Hectares
1965,0.09,Marine protected area extent,Undefined,Million,Hectares
1966,0.11,Marine protected area extent,Undefined,Million,Hectares
1967,0.11,Marine protected area extent,Undefined,Million,Hectares
1968,0.11,Marine protected area extent,Undefined,Million,Hectares
1969,0.11,Marine protected area extent,Undefined,Million,Hectares
1970,0.11,Marine protected area extent,Undefined,Million,Hectares
1971,0.12,Marine protected area extent,Undefined,Million,Hectares
1972,0.19,Marine protected area extent,Undefined,Million,Hectares
1973,0.19,Marine protected area extent,Undefined,Million,Hectares
1974,0.2,Marine protected area extent,Undefined,Million,Hectares
1975,0.2,Marine protected area extent,Undefined,Million,Hectares
1976,0.23,Marine protected area extent,Undefined,Million,Hectares
1977,0.23,Marine protected area extent,Undefined,Million,Hectares
1978,0.23,Marine protected area extent,Undefined,Million,Hectares
1979,0.23,Marine protected area extent,Undefined,Million,Hectares
1980,0.23,Marine protected area extent,Undefined,Million,Hectares
1981,0.23,Marine protected area extent,Undefined,Million,Hectares
1982,0.23,Marine protected area extent,Undefined,Million,Hectares
1983,0.23,Marine protected area extent,Undefined,Million,Hectares
1984,0.23,Marine protected area extent,Undefined,Million,Hectares
1985,0.25,Marine protected area extent,Undefined,Million,Hectares
1986,0.27,Marine protected area extent,Undefined,Million,Hectares
1987,0.27,Marine protected area extent,Undefined,Million,Hectares
1988,0.27,Marine protected area extent,Undefined,Million,Hectares
1989,0.27,Marine protected area extent,Undefined,Million,Hectares
1990,0.3,Marine protected area extent,Undefined,Million,Hectares
1991,0.3,Marine protected area extent,Undefined,Million,Hectares
1992,0.3,Marine protected area extent,Undefined,Million,Hectares
1993,0.31,Marine protected area extent,Undefined,Million,Hectares
1994,0.35000000000000003,Marine protected area extent,Undefined,Million,Hectares
1995,0.35000000000000003,Marine protected area extent,Undefined,Million,Hectares
1996,0.96,Marine protected area extent,Undefined,Million,Hectares
