Year,Value,Series,Observation status,Unit multiplier,Unit measure
2000,14.0,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2001,13.94,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2002,13.18,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2003,13.44,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2004,13.72,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2005,14.37,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2006,12.96,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2007,13.3,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2008,12.77,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2009,12.28,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2010,11.84,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2011,12.07,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2012,11.99,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2013,12.29,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2014,12.22,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2015,12.4,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2016,13.07,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2017,12.45,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2018,12.86,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
2019,12.6,Proportion of small-scale industries in total industry value added (%),Normal value,Units,Percentage (%)
