Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2012,35.7335999997921,,Undefined,Units,Percentage (%)
2013,35.4860636764419,,Undefined,Units,Percentage (%)
2014,36.5540207792933,,Undefined,Units,Percentage (%)
2015,37.3041322451758,,Undefined,Units,Percentage (%)
2016,37.2966033152996,,Undefined,Units,Percentage (%)
2017,37.8392017676189,,Undefined,Units,Percentage (%)
2018,37.7543978868566,,Undefined,Units,Percentage (%)
2019,38.2282228406102,,Undefined,Units,Percentage (%)
2020,38.9785498072994,,Undefined,Units,Percentage (%)
2021,40.57280296503,,Undefined,Units,Percentage (%)
2022,40.1865562741373,,Undefined,Units,Percentage (%)
