Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier
2009,223.0,Number,"England, Wales and Northern Ireland",,Normal value,Units
2010,485.0,Number,"England, Wales and Northern Ireland",,Normal value,Units
2011,236.0,Number,"England, Wales and Northern Ireland",,Normal value,Units
2012,389.0,Number,"England, Wales and Northern Ireland",,Normal value,Units
2013,573.0,Number,"England, Wales and Northern Ireland",,Normal value,Units
2014,642.0,Number,"England, Wales and Northern Ireland",,Normal value,Units
2000,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2001,2.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2002,1.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2003,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2004,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2005,1.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2006,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2007,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2008,1.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2009,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2010,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2011,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2012,1.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2013,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2014,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2015,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2016,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2017,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2018,1.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2019,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2020,0.0,Number,United Kingdom (UK),K02000001,Normal value,Units
2020,0.0,Number,United Kingdom (UK),K02000002,Normal value,Units
