Year,Value,Units,Series,Observation status,Unit multiplier
2000,71.91938,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2001,77.06719,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2002,77.20172,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2003,79.51283,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2004,79.51283,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2005,79.5154,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2006,79.51737,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2007,79.61799,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2008,79.74688,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2009,79.74688,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2010,79.74688,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2011,79.75,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2012,79.75035,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2013,79.75035,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2014,79.75038,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2015,79.75038,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2016,79.75038,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2017,79.75046,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2018,79.75046,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2019,79.75046,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2020,79.75046,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2021,79.75046,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
2022,79.75046,Percentage (%),Mean percentage of each mountain Key Biodiversity Areas (KBAs) covered by protected areas (%),Normal,Units
