Year,Value,Units,Observation status,Unit multiplier
2009,15.9201832332026,Percentage (%),Undefined,Units
2010,15.2984635655632,Percentage (%),Undefined,Units
2011,14.5992925246562,Percentage (%),Undefined,Units
2012,13.1600966902194,Percentage (%),Undefined,Units
2013,13.0853271629971,Percentage (%),Undefined,Units
2014,14.263995602802,Percentage (%),Undefined,Units
2015,13.6728040560138,Percentage (%),Undefined,Units
2016,10.909859750511,Percentage (%),Undefined,Units
2017,11.2248582043488,Percentage (%),Undefined,Units
2018,11.2174259722373,Percentage (%),Undefined,Units
2019,11.0567041470197,Percentage (%),Undefined,Units
2020,14.3220061875896,Percentage (%),Undefined,Units
2021,16.2491701138859,Percentage (%),Undefined,Units
2022,16.6243072688727,Percentage (%),Undefined,Units
2023,18.0813269501811,Percentage (%),Undefined,Units
