Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2012,80.9,,Undefined,Units,Percentage (%)
2013,83.3,,Undefined,Units,Percentage (%)
2014,85.0,,Undefined,Units,Percentage (%)
2015,86.2,,Undefined,Units,Percentage (%)
2016,87.9,,Undefined,Units,Percentage (%)
2017,88.9,,Undefined,Units,Percentage (%)
2018,89.8,,Undefined,Units,Percentage (%)
2019,90.8,,Undefined,Units,Percentage (%)
