Year,Value,Units,Series,Observation status,Unit multiplier
1980,22.9838022165,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1981,22.3086104007,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1982,21.6334185848,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1983,20.958226769,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1984,20.2830349531,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1985,19.6078431373,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1986,19.7851662404,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1987,19.9624893436,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1988,20.1398124467,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1989,20.3171355499,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1990,20.494458653,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1991,20.5183290708,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1992,20.5421994885,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1993,20.5660699062,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1994,20.589940324,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1995,20.6138107417,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1996,20.7481515927,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1997,20.8824924436,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1998,21.0168332946,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
1999,21.1511741455,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2000,21.2855149965,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2001,21.4198558475,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2002,21.5541966984,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2003,21.6885375494,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2004,21.8228784004,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2005,21.9572192513,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2006,22.0915601023,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2007,14.5149190111,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2008,14.231884058,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2009,14.1193520887,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2010,14.0903665814,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2011,13.1031543052,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2012,13.6692242114,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2013,13.0451832907,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2014,12.42114237,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2015,13.9130434783,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2016,14.3546462063,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2017,14.3546462063,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2018,14.3546462063,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2019,14.3546462063,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
2020,14.3546462063,Percentage (%),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Estimated value,Units
