Year,Value,Observation status,Unit multiplier,Unit measure
2017/18,105.0,Normal Value,Units,Number of offences
2018/19,143.0,Normal Value,Units,Number of offences
2019/20,109.0,Normal Value,Units,Number of offences
2020/21,119.0,Normal Value,Units,Number of offences
2021/22,125.0,Normal Value,Units,Number of offences
