Year,Value,Units,Observation status,Unit multiplier
2014,17.0,Number,Normal value,Units
2015,31.0,Number,Normal value,Units
2016,22.0,Number,Normal value,Units
2017,8.0,Number,Normal value,Units
2018,11.0,Number,Normal value,Units
2019,50.0,Number,Normal value,Units
2020,13.0,Number,Normal value,Units
2021,44.0,Number,Normal value,Units
2022,13.0,Number,Normal value,Units
