Year,Value,Units,GeoCode,Observation status,Unit multiplier,Unit measure
2012,8302.9,Headcount (ONS data),,Undefined,Units,"Rate per 1,000,000 population"
2013,8546.2,Headcount (ONS data),,Undefined,Units,"Rate per 1,000,000 population"
2014,9369.7,Headcount (ONS data),,Undefined,Units,"Rate per 1,000,000 population"
2015,9946.7,Headcount (ONS data),,Undefined,Units,"Rate per 1,000,000 population"
2016,9877.9,Headcount (ONS data),,Undefined,Units,"Rate per 1,000,000 population"
2017,9824.2,Headcount (ONS data),,Undefined,Units,"Rate per 1,000,000 population"
2000,2893.16262,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2001,3079.38906,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2002,3338.94652,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2003,3636.94298,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2004,3823.53551,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2005,4123.61395,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2006,4177.58715,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2007,4113.85164,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2008,4058.42521,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2009,4083.44176,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2010,4053.03668,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2011,3939.04069,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2012,3986.84956,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2013,4141.30419,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2014,4254.10877,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2015,4350.08719,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
2016,4429.5838,Full time equivalent (World Bank Data),,Undefined,Units,"Rate per 1,000,000 population"
