Year,Value,Units,GeoCode,Observation status,Unit multiplier
2010,40.35801527835693,Percentage (%),,Normal value,Units
2011,42.894844657838114,Percentage (%),,Normal value,Units
2012,43.87180541880218,Percentage (%),,Normal value,Units
2013,44.07576523325131,Percentage (%),,Normal value,Units
2014,44.8425979027658,Percentage (%),,Normal value,Units
2015,44.10168354474892,Percentage (%),,Normal value,Units
2016,44.563177787927735,Percentage (%),,Normal value,Units
2017,44.84348384011604,Percentage (%),,Normal value,Units
2018,44.29741958729582,Percentage (%),,Normal value,Units
2019,45.2323997057058,Percentage (%),,Normal value,Units
2020,43.566821976184,Percentage (%),,Normal value,Units
