From,To
Type of partner abuse,Abuse sub-category
Type of partner abuse,Age
Type of partner abuse,Ethnicity
Type of partner abuse,Disability status
Type of partner abuse,Household income
Type of partner abuse,Region
Type of partner abuse,Highest qualification
Ethnicity,Ethnic group
