From,To
Aid sector (DAC 5 code),Aid category (DAC 5 code)
Aid sector (DAC 5 code),Aid sub-category (DAC 5 code)
Aid sector (DAC 5 code),Aid description (CRS code)
ODA recipient region,ODA recipient country
