Year,Completeness of disaggregation,Goal,Observation status,Unit multiplier,Unit measure,Value
2021,Fully disaggregated,Goal 3,Undefined,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 3,Undefined,Units,Percentage (%),100.0
2021,Not disaggregated,Goal 3,Undefined,Units,Percentage (%),0.0
2021,Fully disaggregated,Goal 4,Undefined,Units,Percentage (%),66.66666667
2021,Partially disaggregated,Goal 4,Undefined,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 4,Undefined,Units,Percentage (%),33.33333333
2021,Fully disaggregated,Goal 5,Undefined,Units,Percentage (%),66.66666667
2021,Partially disaggregated,Goal 5,Undefined,Units,Percentage (%),16.66666667
2021,Not disaggregated,Goal 5,Undefined,Units,Percentage (%),16.66666667
2021,Fully disaggregated,Goal 8,Undefined,Units,Percentage (%),33.33333333
2021,Partially disaggregated,Goal 8,Undefined,Units,Percentage (%),33.33333333
2021,Not disaggregated,Goal 8,Undefined,Units,Percentage (%),33.33333333
2021,Fully disaggregated,Goal 9,Undefined,Units,Percentage (%),50.0
2021,Partially disaggregated,Goal 9,Undefined,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 9,Undefined,Units,Percentage (%),50.0
2021,Fully disaggregated,Goal 10,Undefined,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 10,Undefined,Units,Percentage (%),66.66666667
2021,Not disaggregated,Goal 10,Undefined,Units,Percentage (%),33.33333333
2021,Fully disaggregated,Goal 11,Undefined,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 11,Undefined,Units,Percentage (%),40.0
2021,Not disaggregated,Goal 11,Undefined,Units,Percentage (%),60.0
2021,Fully disaggregated,Goal 12,Undefined,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 12,Undefined,Units,Percentage (%),100.0
2021,Not disaggregated,Goal 12,Undefined,Units,Percentage (%),0.0
2021,Fully disaggregated,Goal 15,Undefined,Units,Percentage (%),0.0
2021,Partially disaggregated,Goal 15,Undefined,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 15,Undefined,Units,Percentage (%),100.0
2021,Fully disaggregated,Goal 16,Undefined,Units,Percentage (%),37.5
2021,Partially disaggregated,Goal 16,Undefined,Units,Percentage (%),12.5
2021,Not disaggregated,Goal 16,Undefined,Units,Percentage (%),50.0
2021,Fully disaggregated,Goal 17,Undefined,Units,Percentage (%),66.66666667
2021,Partially disaggregated,Goal 17,Undefined,Units,Percentage (%),0.0
2021,Not disaggregated,Goal 17,Undefined,Units,Percentage (%),33.33333333
