Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2014,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.81
2015,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.79
2016,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.72
2017,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.66
1990,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.68
1991,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.63
1992,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.66
1993,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
1994,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.68
1995,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.71
1996,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.68
1997,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.67
1998,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.29
1999,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.35
2000,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.32
2001,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.29
2002,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.05
2003,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.95
2004,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.91
2005,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2006,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.78
2007,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.72
2008,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.72
2009,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2010,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.8
2011,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.85
2012,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.84
2013,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.77
2014,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.76
2015,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.73
2016,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.68
2017,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.65
1990,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.14
1991,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.15
1992,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.15
1993,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.15
1994,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.14
1995,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.14
1996,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.14
1997,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.13
1998,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.14
1999,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.13
2000,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.13
2001,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.13
2002,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.11
2003,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.11
2004,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2005,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2006,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.09
2007,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.09
2008,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.1
2009,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.09
2010,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.09
2011,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.08
2012,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.09
2013,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.09
2014,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.08
2015,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.08
2016,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.08
2017,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.08
1990,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.74
1991,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.84
1992,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.82
1993,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.86
1994,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.78
1995,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.78
1996,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.75
1997,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.62
1998,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.47
1999,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.5
2000,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.43
2001,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.35
2002,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.26
2003,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.15
2004,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.08
2005,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.02
2006,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.93
2007,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.87
2008,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.93
2009,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.94
2010,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.91
2011,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.81
2012,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.82
2013,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.77
2014,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.65
2015,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.63
2016,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.62
2017,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,0.58
1990,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.09
1991,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.16
1992,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.16
1993,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.21
1994,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.14
1995,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.11
1996,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.08
1997,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.98
1998,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.93
1999,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.7
2000,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.62
2001,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.51
2002,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.47
2003,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.46
2004,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.36
2005,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.34
2006,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.26
2007,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2008,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2009,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.13
2010,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.02
2011,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.92
2012,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2013,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.83
2014,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.74
2015,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.72
2016,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.73
2017,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.69
1990,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.59
1991,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.54
1992,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.65
1993,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.58
1994,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.58
1995,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.67
1996,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.73
1997,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.62
1998,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
1999,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2000,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.47
2001,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.51
2002,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.29
2003,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.32
2004,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.36
2005,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
2006,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.07
2007,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.98
2008,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.77
2009,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.54
2010,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.47
2011,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.46
2012,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.63
2013,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.42
2014,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.23
2015,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.11
2016,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.08
2017,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.03
1990,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.83
1991,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.97
1992,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.03
1993,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.68
1994,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
1995,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.55
1996,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.73
1997,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.71
1998,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.67
1999,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.51
2000,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.38
2001,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.34
2002,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.16
2003,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.1
2004,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.98
2005,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.89
2006,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.96
2007,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.93
2008,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.96
2009,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.88
2010,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.96
2011,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.81
2012,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.87
2013,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.86
2014,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.7
2015,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.57
2016,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.53
2017,Education,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.49
1990,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.43
1991,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.55
1992,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.71
1993,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.32
1994,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.38
1995,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.34
1996,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.41
1997,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.19
1998,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.11
1999,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.9
2000,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.71
2001,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.72
2002,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.35
2003,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.27
2004,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.41
2005,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.46
2006,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.31
2007,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.26
2008,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.27
2009,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.15
2010,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.15
2011,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2012,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.19
2013,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.14
2014,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.98
2015,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.91
2016,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.9
2017,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.84
1990,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.51
1991,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.57
1992,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.26
1993,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.27
1994,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.08
1995,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.93
1996,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,3.04
1997,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.85
1998,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.74
1999,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.54
2000,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.49
2001,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.31
2002,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.17
2003,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.21
2004,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.02
2005,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.11
2006,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.2
2007,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.15
2008,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.19
2009,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.25
2010,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.21
2011,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.94
2012,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.13
2013,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,2.09
2014,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.78
2015,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.6
2016,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.57
2017,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Undefined,1.44
1990,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.35
1991,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.44
1992,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.4
1993,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.38
1994,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.33
1995,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.32
1996,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.36
1997,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.28
1998,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.29
1999,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.28
2000,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.23
2001,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.23
2002,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.09
2003,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.18
2004,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.18
2005,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.16
2006,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.03
2007,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.03
2008,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.12
2009,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.92
2010,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.96
2011,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.85
2012,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.96
2013,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2014,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.81
2015,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.83
2016,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.87
2017,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.82
1990,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.26
1991,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.26
1992,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.26
1993,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.25
1994,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.25
1995,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.24
1996,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
1997,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
1998,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
1999,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
2000,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
2001,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
2002,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.22
2003,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.21
2004,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
2005,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
2006,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.22
2007,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.23
2008,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.22
2009,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.22
2010,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.21
2011,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.21
2012,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2013,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.19
2014,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2015,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.2
2016,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.19
2017,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.21
