Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2012,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.46
2013,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.3
2014,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.41
2015,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.91
2016,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,12.19
2017,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.98
1990,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.48
1991,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.16
1992,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.02
1993,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.8
1994,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.49
1995,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.12
1996,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.75
1997,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.99
1998,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.06
1999,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.93
2000,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.65
2001,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.28
2002,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.17
2003,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.47
2004,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.38
2005,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.07
2006,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.77
2007,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.55
2008,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.19
2009,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.2
2010,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.74
2011,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.21
2012,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.79
2013,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.36
2014,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.29
2015,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.82
2016,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.43
2017,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.42
1990,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.01
1991,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.76
1992,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.05
1993,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.86
1994,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.1
1995,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.88
1996,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.96
1997,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.67
1998,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.43
1999,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,14.48
2000,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.97
2001,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.68
2002,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.49
2003,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.86
2004,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.3
2005,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,13.43
2006,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.98
2007,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.67
2008,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.49
2009,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,12.04
2010,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.94
2011,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.35
2012,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.99
2013,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,11.24
2014,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.38
2015,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,10.13
2016,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.58
2017,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Undefined,9.34
1990,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,11.82
1991,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.84
1992,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.54
1993,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.36
1994,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.9
1995,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.05
1996,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.64
1997,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.33
1998,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.43
1999,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.41
2000,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.97
2001,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.69
2002,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.08
2003,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.67
2004,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.44
2005,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.36
2006,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.92
2007,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.96
2008,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.8
2009,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.33
2010,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.83
2011,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.83
2012,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.27
2013,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.43
2014,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.83
2015,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.72
2016,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.73
2017,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.41
1990,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.48
1991,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,10.58
1992,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,9.29
1993,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.58
1994,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.57
1995,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.44
1996,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Undefined,8.2
