Year,Series,Country income classification,Observation status,Unit multiplier,Units,Value
2009,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),6.314
2009,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),0.43
2009,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.326
2009,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),0.314
2009,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),173.763
2009,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),181.148
2010,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),8.915
2010,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),9.178
2010,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),1.865
2010,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),2.328
2010,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),284.029
2010,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),306.315
2011,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),30.152
2011,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),10.697
2011,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),1.533
2011,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),7.245
2011,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),54.808
2011,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),104.436
2012,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),0.71
2012,"Total official development assistance for biodiversity, by recipient countries",LMICs,Normal value,Millions,GBP (£ Millions),0.6
2012,"Total official development assistance for biodiversity, by recipient countries",Other LICs,Normal value,Millions,GBP (£ Millions),0.077
2012,"Total official development assistance for biodiversity, by recipient countries",UMICs,Normal value,Millions,GBP (£ Millions),1.171
2012,"Total official development assistance for biodiversity, by recipient countries",Unspecified,Normal value,Millions,GBP (£ Millions),1.781
2012,"Total official development assistance for biodiversity, by recipient countries",,Normal value,Millions,GBP (£ Millions),4.339
2013,"Total official development assistance for biodiversity, by recipient countries",LDCs,Normal value,Millions,GBP (£ Millions),1.278
