Year,Industry sector,Industry higher sub-category,Industry middle sub-category,Industry lower sub-category,Observation status,Unit multiplier,Unit measure,Value
2000,"Agriculture, forestry and fishing",,,,Undefined,Units,Percentage (%),0.822055422
2000,"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",,,Undefined,Units,Percentage (%),0.759269086
2000,"Agriculture, forestry and fishing",Forestry and logging,,,Undefined,Units,Percentage (%),0.019038437
2000,"Agriculture, forestry and fishing",Fishing and aquaculture,,,Undefined,Units,Percentage (%),0.055414005
2000,Mining and quarrying,,,,Undefined,Units,Percentage (%),5.464355589
2000,Mining and quarrying,Mining of coal and lignite,,,Undefined,Units,Percentage (%),0.068052287
2000,Mining and quarrying,Extraction of crude petroleum and natural gas,,,Undefined,Units,Percentage (%),5.395574171
2000,Mining and quarrying,Mining of metal ores,,,Undefined,Units,Percentage (%),0.0
2000,Mining and quarrying,Other mining and quarrying,,,Undefined,Units,Percentage (%),0.302589633
2000,Mining and quarrying,Mining support service activities,,,Undefined,Units,Percentage (%),0.154332865
2000,Manufacturing,,,,Undefined,Units,Percentage (%),13.37592002
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",,,Undefined,Units,Percentage (%),1.859528738
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,Undefined,Units,Percentage (%),1.440845145
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,Undefined,Units,Percentage (%),0.243286925
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",Undefined,Units,Percentage (%),0.157492435
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Vegetable and animal oils and fats,Undefined,Units,Percentage (%),0.029975412000000003
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Dairy products,Undefined,Units,Percentage (%),0.08401216800000001
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Grain mill products, starches and starch products",Undefined,Units,Percentage (%),0.110260908
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Bakery and farinaceous products,Undefined,Units,Percentage (%),0.246041423
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Other food products,Undefined,Units,Percentage (%),0.502371703
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Prepared animal feeds,Undefined,Units,Percentage (%),0.084174198
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,Undefined,Units,Percentage (%),0.318954587
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Alcoholic beverages,Undefined,Units,Percentage (%),0.22303326899999998
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Soft drinks; production of mineral waters and other bottled waters,Undefined,Units,Percentage (%),0.11082801
2000,Manufacturing,"Manufacture of food products, beverages and tobacco",Tobacco products,,Undefined,Units,Percentage (%),0.108478586
