Year,Series,Endangered species type,Units,Unit multiplier,Observation status,Value
2017,Convention of International Trade of Endangered Species (CITES) seizures,Butterflies,Number of times seized,Units,Normal value,1.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Butterflies,Number of times seized,Units,Normal value,8.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Butterflies,Number of times seized,Units,Normal value,4.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Butterflies,Number of times seized,Units,Normal value,1.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Butterflies,Number of times seized,Units,Normal value,0.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Butterflies,Number of times seized,Units,Normal value,0.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,24.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,22.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,31.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,20.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,28.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,41.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,27.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,4.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,32.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Caviar and caviar extract,Number of times seized,Units,Normal value,10.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,43.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,40.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,183.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,161.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,176.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,108.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,54.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,45.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,88.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Ivory and items containing ivory,Number of times seized,Units,Normal value,143.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,14.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,23.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,13.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,12.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,13.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,12.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,10.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,6.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,13.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Live animals and birds,Number of times seized,Units,Normal value,8.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,18.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,14.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,22.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,16.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,21.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,7.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,11.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,8.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,10.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Live coral and coral derivatives,Number of times seized,Units,Normal value,5.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,6.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,6.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,45.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,36.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,37.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,82.0
2019,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,67.0
2020,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,20.0
2021,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,23.0
2022,Convention of International Trade of Endangered Species (CITES) seizures,Live plants,Number of times seized,Units,Normal value,54.0
2013,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,128.0
2014,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,140.0
2015,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,180.0
2016,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,220.0
2017,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,168.0
2018,Convention of International Trade of Endangered Species (CITES) seizures,Parts or derivatives of animals or birds,Number of times seized,Units,Normal value,167.0
