Year,Observation status,Unit multiplier,Unit measure,Value
1959,Undefined,Units,Index,420.058869589
1960,Undefined,Units,Index,476.81368665344553
1961,Undefined,Units,Index,631.2446133009075
1962,Undefined,Units,Index,705.8805966322301
1963,Undefined,Units,Index,770.7046860425576
1964,Undefined,Units,Index,781.3414136573247
1965,Undefined,Units,Index,854.3466423631806
1966,Undefined,Units,Index,911.8999348447252
1967,Undefined,Units,Index,1023.746872426568
1968,Undefined,Units,Index,1189.552776946604
1969,Undefined,Units,Index,1205.6311058369358
1970,Undefined,Units,Index,1794.945686582582
1971,Undefined,Units,Index,2638.606486677276
1972,Undefined,Units,Index,3310.2328975899727
1973,Undefined,Units,Index,3914.5100642580646
1974,Undefined,Units,Index,5307.832020000535
1975,Undefined,Units,Index,5917.059925292482
1976,Undefined,Units,Index,6771.991761724823
1977,Undefined,Units,Index,7652.789231347428
1978,Undefined,Units,Index,8044.722455132886
1979,Undefined,Units,Index,8569.671839548122
1980,Undefined,Units,Index,8952.27252645137
1981,Undefined,Units,Index,9891.448242702763
1982,Undefined,Units,Index,10757.61178490837
1983,Undefined,Units,Index,12211.077584788329
1984,Undefined,Units,Index,13063.222379586185
1985,Undefined,Units,Index,13787.415333125487
1986,Undefined,Units,Index,14457.683276304013
1987,Undefined,Units,Index,14825.171854251064
1988,Undefined,Units,Index,15782.897199236531
1989,Undefined,Units,Index,16842.991520706153
1990,Undefined,Units,Index,18584.401149594683
1991,Undefined,Units,Index,19554.8953565654
1992,Undefined,Units,Index,20822.797581008537
1993,Undefined,Units,Index,21134.6849828494
1994,Undefined,Units,Index,21627.89674662272
1995,Undefined,Units,Index,22468.151170438065
1996,Undefined,Units,Index,23609.602948637224
1997,Undefined,Units,Index,25381.617146908404
1998,Undefined,Units,Index,27476.822536713524
1999,Undefined,Units,Index,29174.290823785734
2000,Undefined,Units,Index,30233.244592296003
2001,Undefined,Units,Index,32810.91065055996
2002,Undefined,Units,Index,36742.84552121843
2003,Undefined,Units,Index,41420.50212121069
2004,Undefined,Units,Index,48563.887092641206
2005,Undefined,Units,Index,57915.69240782908
2006,Undefined,Units,Index,74076.87846525578
2007,Undefined,Units,Index,89304.69739507118
2008,Undefined,Units,Index,100953.31158501448
2009,Undefined,Units,Index,111625.53025834338
2010,Undefined,Units,Index,117077.0010828151
2011,Undefined,Units,Index,120081.71410487306
2012,Undefined,Units,Index,126787.33823662308
2013,Undefined,Units,Index,133286.24799482955
2014,Undefined,Units,Index,140132.67775948194
2015,Undefined,Units,Index,144527.9086778364
2016,Undefined,Units,Index,149218.58228395524
2017,Undefined,Units,Index,153138.2929793188
2018,Undefined,Units,Index,153138.5148274343
