Year,Series,Treatment type,Economic activity,Unit measure,Observation status,Unit multiplier,Value
2010,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Normal value,Units,242875.87193620656
2012,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Normal value,Units,228289.98887862705
2014,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Normal value,Units,236969.05493930107
2016,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Normal value,Units,236895.28948827877
2018,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Normal value,Units,238849.0
2010,Hazardous waste generated (absolute number),,Construction,Tonnes,Normal value,Units,688307.6081383979
2012,Hazardous waste generated (absolute number),,Construction,Tonnes,Normal value,Units,924229.7902988635
2014,Hazardous waste generated (absolute number),,Construction,Tonnes,Normal value,Units,742826.4774385577
2016,Hazardous waste generated (absolute number),,Construction,Tonnes,Normal value,Units,800534.6614230361
2018,Hazardous waste generated (absolute number),,Construction,Tonnes,Normal value,Units,856213.0
2010,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Normal value,Units,44664.86987503596
2012,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Normal value,Units,56043.893267143205
2014,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Normal value,Units,70852.05365729272
2016,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Normal value,Units,79345.53085272002
2018,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Normal value,Units,106888.0
2010,Hazardous waste generated (absolute number),,Households,Tonnes,Normal value,Units,365179.39479999966
2012,Hazardous waste generated (absolute number),,Households,Tonnes,Normal value,Units,333863.18499999994
2014,Hazardous waste generated (absolute number),,Households,Tonnes,Normal value,Units,331196.1933908815
2016,Hazardous waste generated (absolute number),,Households,Tonnes,Normal value,Units,363439.53368479415
2018,Hazardous waste generated (absolute number),,Households,Tonnes,Normal value,Units,336114.753
2010,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Normal value,Units,169774.3455317021
2012,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Normal value,Units,170362.94348042284
2014,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Normal value,Units,145870.09592939136
2016,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Normal value,Units,153588.62264726617
2018,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Normal value,Units,170761.9078986925
2010,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Normal value,Units,522205.04909145774
2012,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Normal value,Units,610116.0360400163
2014,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Normal value,Units,820630.3708579912
2016,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Normal value,Units,862254.9978942832
2018,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Normal value,Units,729168.5279537558
2010,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,19072.74616471392
