Year,Series,Gas,Observation status,Unit multiplier,Unit measure,Value
1990,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.0684072597843
1990,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),150.317367581679
1990,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),604.033852015116
1990,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0001098540803355
1990,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),44.2502604495936
1990,Greenhouse gas emissions within UK borders,Perfluorocarbons (PFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.48366130882974
1990,Greenhouse gas emissions within UK borders,Sulphur hexafluoride (SF6),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),1.24282818475221
1990,Greenhouse gas emissions within UK borders,,Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),813.396486653835
1991,Greenhouse gas emissions within UK borders,Hydrofluorocarbons (HFC),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),12.582665573714
1991,Greenhouse gas emissions within UK borders,Methane (CH4),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),151.179782369068
1991,Greenhouse gas emissions within UK borders,Net CO2 emissions (emissions minus removals),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),611.047104896435
1991,Greenhouse gas emissions within UK borders,Nitrogen trifluoride (NF3),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),0.0001301221581574
1991,Greenhouse gas emissions within UK borders,Nitrous oxide (N2O),Normal value,Units,Million tonnes carbon dioxide equivalent (MtCO2e),44.3879657780053
