Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2006,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),Undefined,Units,,672255.349472
2006,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),Undefined,Units,,0.000134451069894388
2006,Performing research and development,England,North East,Government,,,,Percentage (%),Undefined,Units,E12000001,0.000201676604841583
2006,Performing research and development,,,Business Enterprise,,,Non-ferrous metals,Percentage (%),Undefined,Units,,0.000403353209683166
2006,Performing research and development,,,Business Enterprise,,,"Transport and storage, incl. postal and courier activities",Percentage (%),Undefined,Units,,0.0010756085591551
2006,Performing research and development,,,Business Enterprise,,,"Textiles, clothing and leather products",Percentage (%),Undefined,Units,,0.0011428340941023
2006,Performing research and development,,,Business Enterprise,,,Construction,Percentage (%),Undefined,Units,,0.0011428340941023
2006,Performing research and development,,,Business Enterprise,,,"Electricity, gas and water supply",Percentage (%),Undefined,Units,,0.0014117362338910801
2006,Performing research and development,Northern Ireland,,Government,,,,Percentage (%),Undefined,Units,N92000002,0.0014117362338910801
2006,Performing research and development,,,Business Enterprise,,,Other manufactured goods,Percentage (%),Undefined,Units,,0.00161341283873266
2006,Performing research and development,,,Business Enterprise,,,Other transport equipment,Percentage (%),Undefined,Units,,0.00168063837367985
2006,Funding research and development,,,Higher Education,,,,Percentage (%),Undefined,Units,,0.00194954051346863
2006,Performing research and development,England,West Midlands,Government,,,,Percentage (%),Undefined,Units,E12000005,0.0022856681882046
2006,Performing research and development,,,Business Enterprise,,,Casting of iron and steel,Percentage (%),Undefined,Units,,0.00255457032799338
2006,Funding research and development,,,Business Enterprise,Overseas,European Commission grants,,Percentage (%),Undefined,Units,,0.0027562469328349603
2006,Performing research and development,Wales,,Government,,,,Percentage (%),Undefined,Units,W92000004,0.0028234724677821603
2006,Performing research and development,,,Business Enterprise,,,Other non-metallic mineral products,Percentage (%),Undefined,Units,,0.00342850228230691
2006,Performing research and development,,,Business Enterprise,,,Public administration,Percentage (%),Undefined,Units,,0.0034957278172541
2006,Performing research and development,,,Business Enterprise,,,"Pulp, paper and paper products; Printing; Wood and straw products",Percentage (%),Undefined,Units,,0.0036974044220956796
2006,Performing research and development,,,Business Enterprise,,,Extractive Industries,Percentage (%),Undefined,Units,,0.00396630656188446
2006,Performing research and development,England,Yorkshire and The Humber,Government,,,,Percentage (%),Undefined,Units,E12000003,0.00396630656188446
2006,Performing research and development,,,Business Enterprise,,,Computers and peripheral equipment,Percentage (%),Undefined,Units,,0.00450411084146202
2006,Performing research and development,,,Business Enterprise,,,Fabricated metal products except machinery and equipment,Percentage (%),Undefined,Units,,0.00457133637640921
2006,Performing research and development,,,Business Enterprise,,,Wholesale and retail trade,Percentage (%),Undefined,Units,,0.0047057874463036
2006,Performing research and development,England,East Midlands,Government,,,,Percentage (%),Undefined,Units,E12000004,0.0056469449355643206
2006,Performing research and development,England,North West,Government,,,,Percentage (%),Undefined,Units,E12000002,0.00578139600545871
2006,Performing research and development,,,Business Enterprise,,,"Agriculture, hunting and forestry; Fishing",Percentage (%),Undefined,Units,,0.0059158470753531
2006,Performing research and development,,,Business Enterprise,,,Rubber and plastic products,Percentage (%),Undefined,Units,,0.00605029814524749
2006,Performing research and development,,,Business Enterprise,,,Research and development services,Percentage (%),Undefined,Units,,0.00820151526355771
2006,Performing research and development,Northern Ireland,,Higher Education,,,,Percentage (%),Undefined,Units,N92000002,0.00894099614797684
2006,Performing research and development,,,Business Enterprise,,,Shipbuilding,Percentage (%),Undefined,Units,,0.00900822168292404
2006,Performing research and development,Northern Ireland,,Business Enterprise,,,,Percentage (%),Undefined,Units,N92000002,0.0105544089867095
2006,Performing research and development,England,North East,Higher Education,,,,Percentage (%),Undefined,Units,E12000001,0.0132434303845972
2006,Performing research and development,Wales,,Business Enterprise,,,,Percentage (%),Undefined,Units,W92000004,0.0145207155485939
