Year,Speed (mb/sec),Units,Unit multiplier,Observation status,Value
2008,10 mbps and over,Rate per 100 population,Units,Undefined,1.88186
2009,10 mbps and over,Rate per 100 population,Units,Undefined,9.55792
2010,10 mbps and over,Rate per 100 population,Units,Undefined,19.83672
2011,10 mbps and over,Rate per 100 population,Units,Undefined,22.34296
2012,10 mbps and over,Rate per 100 population,Units,Undefined,25.40093
2013,10 mbps and over,Rate per 100 population,Units,Undefined,27.72843
2014,10 mbps and over,Rate per 100 population,Units,Undefined,31.5843
2015,10 mbps and over,Rate per 100 population,Units,Undefined,34.82636
2016,10 mbps and over,Rate per 100 population,Units,Undefined,36.65549
2017,10 mbps and over,Rate per 100 population,Units,Undefined,37.85001
2018,10 mbps and over,Rate per 100 population,Units,Undefined,38.96989
2019,10 mbps and over,Rate per 100 population,Units,Undefined,39.26997
2008,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,24.56598
2009,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,18.23661
2010,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,9.93042
2011,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,8.56806
2012,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,7.42279
2013,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,5.80817
2014,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,4.68702
2015,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,2.62134
2016,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,1.76745
2017,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,1.17954
2018,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,0.62714
2019,Between 2 mbps and 10 mbps,Rate per 100 population,Units,Undefined,0.39669
2008,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,1.34844
2009,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.63029
2010,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.38275
2011,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2012,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2013,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2014,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2015,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2016,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2017,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2018,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2019,Between 256 kbps and 2 mbps,Rate per 100 population,Units,Undefined,0.0
2000,,Rate per 100 population,Units,Undefined,0.08976
2001,,Rate per 100 population,Units,Undefined,0.55977
2002,,Rate per 100 population,Units,Undefined,2.28648
2003,,Rate per 100 population,Units,Undefined,5.22772
2004,,Rate per 100 population,Units,Undefined,10.2282
2005,,Rate per 100 population,Units,Undefined,16.41896
2006,,Rate per 100 population,Units,Undefined,21.39545
2007,,Rate per 100 population,Units,Undefined,25.39412
2008,,Rate per 100 population,Units,Undefined,27.85421
2009,,Rate per 100 population,Units,Undefined,28.45395
2010,,Rate per 100 population,Units,Undefined,30.17896
2011,,Rate per 100 population,Units,Undefined,32.15914
2012,,Rate per 100 population,Units,Undefined,33.608
2013,,Rate per 100 population,Units,Undefined,35.45457
2014,,Rate per 100 population,Units,Undefined,36.27132
2015,,Rate per 100 population,Units,Undefined,37.4477
2016,,Rate per 100 population,Units,Undefined,38.42294
