Year,Series,Units,Unit multiplier,Observation status,Value
2000,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,3.7
2001,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.8
2002,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.3
2003,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,2.7
2004,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.8
2005,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.9
2006,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.5
2007,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.7
2008,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,-1.0
2009,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,-5.2
2010,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.6
2011,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,0.2
2012,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,0.8
2013,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.2
2014,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,2.4
2015,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.6
2016,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.3
2017,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.8
2018,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.1
2019,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,1.1
2020,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,-11.4
2021,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,7.2
2022,Annual growth rate of real GDP per capita,Percentage (%),Units,Normal value,3.4
