Year,Series,Industry sector,Observation status,Unit multiplier,Unit measure,Value
1990,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.5
1991,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.51
1992,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.5
1993,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.48
1994,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.46
1995,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.44
1996,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.45
1997,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.42
1998,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.41
1999,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.4
2000,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.39
2001,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.39
2002,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.37
2003,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.36
2004,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.36
2005,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.35
2006,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.34
2007,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.33
2008,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.32
2009,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.3
2010,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.31
2011,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.28
2012,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.29
2013,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.28
2014,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.25
2015,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.24
2016,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.23
2017,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.22
2018,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.21
2019,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.21
2020,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.2
2021,CO2 emissions per unit of GDP,,Normal value,Thousands,Tonnes per million GBP (£),0.19
1990,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.43
1990,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
1990,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.02
1990,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.06
1990,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.95
1990,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.08
