Year,Units,Subject,Sex,Special educational needs,Free school meals,Ethnicity,Ethnic group,Region,Local Authority,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015/16,Attainment at age 7,Reading,,,,,,,,Percentage (%),Units,Undefined,,74.0
2015/16,Attainment at age 7,Reading,Male,,,,,,,Percentage (%),Units,Undefined,,70.0
2015/16,Attainment at age 7,Reading,Female,,,,,,,Percentage (%),Units,Undefined,,78.0
2015/16,Attainment at age 7,Maths,,,,,,,,Percentage (%),Units,Undefined,,73.0
2015/16,Attainment at age 7,Maths,Male,,,,,,,Percentage (%),Units,Undefined,,72.0
2015/16,Attainment at age 7,Maths,Female,,,,,,,Percentage (%),Units,Undefined,,74.0
2016/17,Attainment at age 7,Reading,,,,,,,,Percentage (%),Units,Undefined,,76.0
2016/17,Attainment at age 7,Reading,Male,,,,,,,Percentage (%),Units,Undefined,,71.0
2016/17,Attainment at age 7,Reading,Female,,,,,,,Percentage (%),Units,Undefined,,80.0
2016/17,Attainment at age 7,Maths,,,,,,,,Percentage (%),Units,Undefined,,75.0
2016/17,Attainment at age 7,Maths,Male,,,,,,,Percentage (%),Units,Undefined,,74.0
2016/17,Attainment at age 7,Maths,Female,,,,,,,Percentage (%),Units,Undefined,,76.0
2017/18,Attainment at age 7,Reading,,,,,,,,Percentage (%),Units,Undefined,,75.0
2017/18,Attainment at age 7,Reading,Male,,,,,,,Percentage (%),Units,Undefined,,71.0
2017/18,Attainment at age 7,Reading,Female,,,,,,,Percentage (%),Units,Undefined,,80.0
2017/18,Attainment at age 7,Maths,,,,,,,,Percentage (%),Units,Undefined,,76.0
2017/18,Attainment at age 7,Maths,Male,,,,,,,Percentage (%),Units,Undefined,,75.0
2017/18,Attainment at age 7,Maths,Female,,,,,,,Percentage (%),Units,Undefined,,77.0
2018/19,Attainment at age 7,Reading,,,,,,,,Percentage (%),Units,Undefined,,75.0
2018/19,Attainment at age 7,Reading,Male,,,,,,,Percentage (%),Units,Undefined,,71.0
2018/19,Attainment at age 7,Reading,Female,,,,,,,Percentage (%),Units,Undefined,,79.0
2018/19,Attainment at age 7,Maths,,,,,,,,Percentage (%),Units,Undefined,,76.0
2018/19,Attainment at age 7,Maths,Male,,,,,,,Percentage (%),Units,Undefined,,74.0
2018/19,Attainment at age 7,Maths,Female,,,,,,,Percentage (%),Units,Undefined,,77.0
2015/16,Attainment at age 7,Reading,,Special educational needs,,,,,,Percentage (%),Units,Undefined,,30.0
2015/16,Attainment at age 7,Reading,Male,Special educational needs,,,,,,Percentage (%),Units,Undefined,,30.0
2015/16,Attainment at age 7,Reading,Female,Special educational needs,,,,,,Percentage (%),Units,Undefined,,28.0
2015/16,Attainment at age 7,Maths,,Special educational needs,,,,,,Percentage (%),Units,Undefined,,30.0
2015/16,Attainment at age 7,Maths,Male,Special educational needs,,,,,,Percentage (%),Units,Undefined,,33.0
