Year,Measure,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2018,Percentile (2.5th),,1.5 to 3,Undefined,Units,Calories per day,617.78283518474
2018,Percentile (2.5th),Male,4 to 10,Undefined,Units,Calories per day,925.640271191764
2018,Percentile (2.5th),Female,4 to 10,Undefined,Units,Calories per day,741.922547437294
2018,Percentile (2.5th),,4 to 10,Undefined,Units,Calories per day,852.838003169569
2018,Percentile (2.5th),Male,11 to 18,Undefined,Units,Calories per day,900.763425217949
2018,Percentile (2.5th),Female,11 to 18,Undefined,Units,Calories per day,807.936189912003
2018,Percentile (2.5th),,11 to 18,Undefined,Units,Calories per day,883.743196929576
2018,Percentile (2.5th),Male,19 to 64,Undefined,Units,Calories per day,1083.21566989753
2018,Percentile (2.5th),Female,19 to 64,Undefined,Units,Calories per day,786.592743316034
2018,Percentile (2.5th),,19 to 64,Undefined,Units,Calories per day,876.494617151243
2018,Percentile (2.5th),Male,65 and over,Undefined,Units,Calories per day,914.562817802562
2018,Percentile (2.5th),Female,65 and over,Undefined,Units,Calories per day,819.480704827723
2018,Percentile (2.5th),,65 and over,Undefined,Units,Calories per day,828.333463507056
2018,Percentile (2.5th),Male,65 to 74,Undefined,Units,Calories per day,991.925686198726
2018,Percentile (2.5th),Female,65 to 74,Undefined,Units,Calories per day,770.384548917494
2018,Percentile (2.5th),,65 to 74,Undefined,Units,Calories per day,879.942130975189
2018,Percentile (2.5th),Male,75 and over,Undefined,Units,Calories per day,597.4919
2018,Percentile (2.5th),Female,75 and over,Undefined,Units,Calories per day,820.499497347409
2018,Percentile (2.5th),,75 and over,Undefined,Units,Calories per day,805.325652473375
2009,Mean,,1.5 to 3,Undefined,Units,Calories per day,1120.1157721451
2009,Mean,Male,4 to 10,Undefined,Units,Calories per day,1595.59971557044
2009,Mean,Female,4 to 10,Undefined,Units,Calories per day,1505.7505550711
2009,Mean,,4 to 10,Undefined,Units,Calories per day,1547.85667870633
2009,Mean,Male,11 to 18,Undefined,Units,Calories per day,1996.20714280302
2009,Mean,Female,11 to 18,Undefined,Units,Calories per day,1622.53970968116
2009,Mean,,11 to 18,Undefined,Units,Calories per day,1815.57385861102
2009,Mean,Male,19 to 64,Undefined,Units,Calories per day,2155.63174110851
2009,Mean,Female,19 to 64,Undefined,Units,Calories per day,1640.00616808261
2009,Mean,,19 to 64,Undefined,Units,Calories per day,1896.05145912756
2009,Mean,Male,65 and over,Undefined,Units,Calories per day,1940.03592288709
2009,Mean,Female,65 and over,Undefined,Units,Calories per day,1534.74096811967
2009,Mean,,65 and over,Undefined,Units,Calories per day,1709.94178807067
2009,Mean,Male,65 to 74,Undefined,Units,Calories per day,2068.12284704549
2009,Mean,Female,65 to 74,Undefined,Units,Calories per day,1556.78412878149
2009,Mean,,65 to 74,Undefined,Units,Calories per day,1787.96251213713
2009,Mean,Male,75 and over,Undefined,Units,Calories per day,1744.62646684178
2009,Mean,Female,75 and over,Undefined,Units,Calories per day,1506.98044748934
2009,Mean,,75 and over,Undefined,Units,Calories per day,1603.26868778488
2011,Mean,,1.5 to 3,Undefined,Units,Calories per day,1132.38976619516
2011,Mean,Male,4 to 10,Undefined,Units,Calories per day,1553.05283515017
2011,Mean,Female,4 to 10,Undefined,Units,Calories per day,1467.32566548316
2011,Mean,,4 to 10,Undefined,Units,Calories per day,1515.05599225838
2011,Mean,Male,11 to 18,Undefined,Units,Calories per day,1946.65677678593
2011,Mean,Female,11 to 18,Undefined,Units,Calories per day,1515.06349831126
2011,Mean,,11 to 18,Undefined,Units,Calories per day,1734.90398766471
2011,Mean,Male,19 to 64,Undefined,Units,Calories per day,2066.3396860785
2011,Mean,Female,19 to 64,Undefined,Units,Calories per day,1585.01764468401
2011,Mean,,19 to 64,Undefined,Units,Calories per day,1825.46004513955
