Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2005 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.884842387087328
2006 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.073319896553164
2006 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.549132560075561
2006 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.636498306700485
2006 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.559366374380055
2006 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.923716404178123
2006 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,16.14691312289228
2006 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.276769690946796
2006 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.9263755258009
2006 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.782350375964892
2006 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.829892828862945
2006 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.255396750075597
2006 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.39970351800242
2007 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.06808710546859
2007 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,8.05556315633291
2007 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.762412866366024
2007 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.057973713995226
2007 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.950253626460928
2007 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.780339251490537
2007 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.716586894757164
2007 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.892952577035818
2007 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.358046001253106
2007 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.427414366235741
2007 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.937389226108202
2007 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.973266037796135
2008 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.399789682828386
2008 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.038854532116218
2008 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.189083998692606
2008 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,13.81804437847701
2008 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.401621440313008
2008 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.62106006489699
2008 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.290344059330588
2008 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.386480352240077
2008 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,16.222053902769925
2008 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,14.160311909520493
2008 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.0214269878382805
2008 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,16.146153293017463
2009 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.13532596346034
2009 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.292356485778829
2009 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.30428708310093
2009 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.553113862653936
2009 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,7.257703274622276
2009 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,17.83383857429115
2009 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,15.443627556976786
2009 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,5.895017052412963
