Year,Series,Observation status,Unit multiplier,Units,Value
1995,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7413940309242264
1996,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7274448795364067
1997,Agriculture orientation index for government expenditures,Normal value,Units,Index,1.0704570209438724
1998,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7605206940659707
1999,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7711817137160512
2000,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.8613062117221222
2001,Agriculture orientation index for government expenditures,Normal value,Units,Index,1.1258077789754732
2002,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.5167589527201931
2003,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.5118035293535135
2004,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7248974419944407
2005,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7126543405068548
2006,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7182304351389949
2007,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7022504776710417
2008,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4724992318122974
2009,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4534343878665159
2010,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.5562439458903278
2011,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.459253973020834
2012,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4721039118095703
2013,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4771969418157344
2014,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.3367088622890918
2015,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.3787780648033246
2016,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4252191342541641
2017,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4121461917002544
2018,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4682425233658099
2019,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.4168047720787505
2020,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.6477098724281882
2021,Agriculture orientation index for government expenditures,Normal value,Units,Index,0.7697156895053621
