Year,Series,Country income classification,Aid description (CRS code),Observation status,Unit multiplier,Units,Value
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,85148.15
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,907.82
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,86055.97
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,87597.08706
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,672.32024
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,88269.4073
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,168291.456331
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,7991.934289
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,176283.39062
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,238877.93662
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,16360.695939
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,255238.632559
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,290811.069921
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,4722.032602
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,295533.102523
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,275662.312242
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,3615.090275
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,279277.402517
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,197874.242118
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,2361.371167
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,200235.613285
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,230260.478134
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,11233.882596
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,GBP,241494.36073
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,GBP,181724.4096
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,GBP,31968.822978
